participant,condition,corr,other,distc,disto,npl,n_corr,n_other,n_distc,n_disto,n_npl
1,control,41,18,0,0,1,1,2,0,0,9
1,pre,31,17,4,6,1,1,2,1,2,6
1,retro,34,15,5,4,1,1,2,1,2,6
2,control,52,7,0,0,1,1,2,0,0,9
2,pre,33,14,6,7,0,1,2,1,2,6
2,retro,44,9,4,3,0,1,2,1,2,6
3,control,50,6,0,0,3,1,2,0,0,9
3,pre,42,7,3,4,4,1,2,1,2,6
3,retro,37,10,5,2,5,1,2,1,2,6
4,control,48,7,0,0,2,1,2,0,0,9
4,pre,47,7,4,2,0,1,2,1,2,6
4,retro,46,7,1,3,2,1,2,1,2,6
5,control,47,9,0,0,4,1,2,0,0,9
5,pre,20,19,9,8,4,1,2,1,2,6
5,retro,26,17,7,5,3,1,2,1,2,6
6,control,54,4,0,0,1,1,2,0,0,9
6,pre,36,13,6,1,4,1,2,1,2,6
6,retro,39,7,5,6,3,1,2,1,2,6
7,control,49,9,0,0,2,1,2,0,0,9
7,pre,36,14,6,3,0,1,2,1,2,6
7,retro,36,15,4,4,1,1,2,1,2,6
8,control,51,8,0,0,0,1,2,0,0,9
8,pre,48,7,2,2,1,1,2,1,2,6
8,retro,35,10,4,9,2,1,2,1,2,6
9,control,45,15,0,0,0,1,2,0,0,9
9,pre,35,10,8,6,1,1,2,1,2,6
9,retro,31,16,8,5,0,1,2,1,2,6
10,control,41,14,0,0,4,1,2,0,0,9
10,pre,11,17,16,15,1,1,2,1,2,6
10,retro,28,13,8,9,2,1,2,1,2,6
11,control,53,7,0,0,0,1,2,0,0,9
11,pre,52,6,2,0,0,1,2,1,2,6
11,retro,45,6,7,2,0,1,2,1,2,6
12,control,60,0,0,0,0,1,2,0,0,9
12,pre,50,4,4,2,0,1,2,1,2,6
12,retro,45,5,4,4,2,1,2,1,2,6
13,control,59,0,0,0,1,1,2,0,0,9
13,pre,55,0,2,3,0,1,2,1,2,6
13,retro,50,8,1,0,1,1,2,1,2,6
14,control,48,9,0,0,2,1,2,0,0,9
14,pre,34,16,6,4,0,1,2,1,2,6
14,retro,34,8,6,9,3,1,2,1,2,6
15,control,53,6,0,0,0,1,2,0,0,9
15,pre,54,1,2,2,1,1,2,1,2,6
15,retro,53,3,3,1,0,1,2,1,2,6
16,control,42,13,0,0,4,1,2,0,0,9
16,pre,39,10,4,4,2,1,2,1,2,6
16,retro,45,11,2,2,0,1,2,1,2,6
17,control,46,13,0,0,1,1,2,0,0,9
17,pre,31,12,10,1,5,1,2,1,2,6
17,retro,29,14,8,8,1,1,2,1,2,6
19,control,58,2,0,0,0,1,2,0,0,9
19,pre,55,3,1,1,0,1,2,1,2,6
19,retro,51,1,6,1,0,1,2,1,2,6
20,control,51,7,0,0,1,1,2,0,0,9
20,pre,34,9,7,8,1,1,2,1,2,6
20,retro,38,6,6,9,1,1,2,1,2,6
21,control,53,6,0,0,1,1,2,0,0,9
21,pre,45,9,3,2,1,1,2,1,2,6
21,retro,45,4,1,8,2,1,2,1,2,6
22,control,38,9,0,0,1,1,2,0,0,9
22,pre,27,11,12,7,3,1,2,1,2,6
22,retro,38,9,5,7,1,1,2,1,2,6
23,control,51,7,0,0,2,1,2,0,0,9
23,pre,53,1,3,2,1,1,2,1,2,6
23,retro,44,7,3,6,0,1,2,1,2,6
24,control,46,12,0,0,1,1,2,0,0,9
24,pre,11,11,10,11,16,1,2,1,2,6
24,retro,15,9,7,7,19,1,2,1,2,6
25,control,55,2,0,0,3,1,2,0,0,9
25,pre,29,11,10,8,2,1,2,1,2,6
25,retro,35,9,6,5,5,1,2,1,2,6
26,control,50,8,0,0,2,1,2,0,0,9
26,pre,44,8,6,2,0,1,2,1,2,6
26,retro,42,4,9,1,4,1,2,1,2,6
28,control,50,9,0,0,1,1,2,0,0,9
28,pre,40,8,6,5,0,1,2,1,2,6
28,retro,41,7,5,5,1,1,2,1,2,6
29,control,60,0,0,0,0,1,2,0,0,9
29,pre,56,2,0,1,0,1,2,1,2,6
29,retro,56,3,1,0,0,1,2,1,2,6
30,control,47,12,0,0,1,1,2,0,0,9
30,pre,36,12,5,4,1,1,2,1,2,6
30,retro,53,2,3,1,0,1,2,1,2,6
31,control,50,10,0,0,0,1,2,0,0,9
31,pre,43,8,4,5,0,1,2,1,2,6
31,retro,42,7,1,8,2,1,2,1,2,6
32,control,54,6,0,0,0,1,2,0,0,9
32,pre,54,3,1,2,0,1,2,1,2,6
32,retro,56,0,1,1,1,1,2,1,2,6
34,control,43,17,0,0,0,1,2,0,0,9
34,pre,36,10,4,9,1,1,2,1,2,6
34,retro,26,22,3,8,1,1,2,1,2,6
35,control,50,9,0,0,0,1,2,0,0,9
35,pre,40,8,6,3,2,1,2,1,2,6
35,retro,44,10,2,2,0,1,2,1,2,6
36,control,45,14,0,0,1,1,2,0,0,9
36,pre,38,7,6,8,1,1,2,1,2,6
36,retro,40,6,8,5,1,1,2,1,2,6
37,control,54,5,0,0,1,1,2,0,0,9
37,pre,46,6,3,3,1,1,2,1,2,6
37,retro,46,2,6,6,0,1,2,1,2,6
38,control,42,15,0,0,3,1,2,0,0,9
38,pre,18,14,11,10,7,1,2,1,2,6
38,retro,16,15,8,13,8,1,2,1,2,6
39,control,44,14,0,0,2,1,2,0,0,9
39,pre,22,28,5,5,0,1,2,1,2,6
39,retro,21,26,4,6,3,1,2,1,2,6
41,control,42,12,0,0,6,1,2,0,0,9
41,pre,19,12,10,7,12,1,2,1,2,6
41,retro,7,18,9,17,9,1,2,1,2,6
42,control,49,6,0,0,5,1,2,0,0,9
42,pre,46,4,4,6,0,1,2,1,2,6
42,retro,38,6,6,9,1,1,2,1,2,6
43,control,40,12,0,0,8,1,2,0,0,9
43,pre,47,4,2,5,2,1,2,1,2,6
43,retro,38,9,3,8,1,1,2,1,2,6
44,control,45,13,0,0,2,1,2,0,0,9
44,pre,23,16,10,10,1,1,2,1,2,6
44,retro,26,22,9,2,1,1,2,1,2,6
45,control,60,0,0,0,0,1,2,0,0,9
45,pre,48,4,5,3,0,1,2,1,2,6
45,retro,52,2,2,3,0,1,2,1,2,6
47,control,45,9,0,0,6,1,2,0,0,9
47,pre,30,10,9,9,2,1,2,1,2,6
47,retro,41,6,6,4,3,1,2,1,2,6
48,control,52,6,0,0,2,1,2,0,0,9
48,pre,41,9,3,6,1,1,2,1,2,6
48,retro,38,10,8,3,1,1,2,1,2,6
49,control,34,21,0,0,1,1,2,0,0,9
49,pre,16,15,7,15,7,1,2,1,2,6
49,retro,12,16,5,11,4,1,2,1,2,6
50,control,60,0,0,0,0,1,2,0,0,9
50,pre,41,3,10,3,0,1,2,1,2,6
50,retro,34,9,9,6,2,1,2,1,2,6
